year,week,week_id,municipality,total_cases,confirmed_cases,age_mean,age_std,female_ratio,deaths,top_barangay,outbreak,location_id,lag_1_cases,lag_2_cases,lag_3_cases,lag_4_cases,rolling_mean_4,rolling_std_4,rolling_max_4,rolling_min_4,rolling_mean_8,rolling_std_8,diff_1,diff_4,pct_change_1,momentum_4,ema_4,volatility_4,outbreak_lag_1,outbreak_lag_2,week_of_year,month,week_sin,week_cos,month_sin,month_cos
2025,1,202501,COMPOSTELA,54,42,47.46296296296296,26.704330058726335,0.48148148148148145,16,Ngan,1,0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387
2025,2,202502,COMPOSTELA,48,29,50.416666666666664,27.23720338483653,0.4583333333333333,11,Ngan,0,0,42.0,0.0,0.0,0.0,35.5,9.192388155425117,42.0,29.0,35.5,9.192388155425117,-13.0,0.0,-0.30952380952380953,0.0,36.8,0.2518462508335649,1.0,0.0,2,1,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387
2025,3,202503,COMPOSTELA,54,36,46.666666666666664,22.93139892382873,0.48148148148148145,9,Ngan,1,0,29.0,42.0,0.0,0.0,35.666666666666664,6.506407098647712,42.0,29.0,35.666666666666664,6.506407098647712,7.0,0.0,0.24137931034482762,0.0,36.48,0.1774474663267558,0.0,1.0,3,1,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387
2025,4,202504,COMPOSTELA,42,25,49.38095238095238,26.901765633370587,0.5,9,Gabi,0,0,36.0,29.0,42.0,0.0,33.0,7.52772652709081,42.0,25.0,33.0,7.52772652709081,-11.0,0.0,-0.3055555555555556,0.0,31.887999999999998,0.22140372138502382,1.0,0.0,4,1,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387
2025,5,202505,COMPOSTELA,46,33,48.30434782608695,22.64005257671299,0.5,9,Gabi,1,0,25.0,36.0,29.0,42.0,30.75,4.7871355387816905,36.0,25.0,33.0,6.519202405202649,8.0,-9.0,0.32000000000000006,-9.0,32.3328,0.15077592248131308,0.0,1.0,5,2,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001
2025,6,202506,COMPOSTELA,51,30,45.05882352941177,28.537982945335067,0.5882352941176471,14,Bagongon,0,0,33.0,25.0,36.0,29.0,31.0,4.69041575982343,36.0,25.0,32.5,5.958187643906492,-3.0,1.0,-0.09090909090909094,1.0,31.39968,0.14657549249448218,1.0,0.0,6,2,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001
2025,7,202507,COMPOSTELA,53,37,49.528301886792455,28.46428516146621,0.5283018867924528,10,Gabi,1,0,30.0,33.0,25.0,36.0,31.25,5.057996968497839,37.0,25.0,33.142857142857146,5.698788509515902,7.0,1.0,0.2333333333333334,1.0,33.639808,0.15683711530225858,0.0,1.0,7,2,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001
2025,8,202508,COMPOSTELA,48,30,43.8125,26.788895960985602,0.4583333333333333,8,Gabi,0,0,37.0,30.0,33.0,25.0,32.5,3.316624790355399,37.0,30.0,32.75,5.391792704790176,-7.0,5.0,-0.18918918918918914,5.0,32.1838848,0.09900372508523579,1.0,0.0,8,2,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001
2025,9,202509,COMPOSTELA,62,38,43.88709677419355,25.572849869529556,0.4032258064516129,14,Bagongon,1,0,30.0,37.0,30.0,33.0,33.75,4.349329450233295,38.0,30.0,32.25,4.527692569068708,8.0,5.0,0.2666666666666666,5.0,34.51033088,0.12516055971894374,0.0,1.0,9,3,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17
2025,10,202510,COMPOSTELA,54,38,45.94444444444444,25.35217356367134,0.5370370370370371,15,Mangayon,1,0,38.0,30.0,37.0,30.0,35.75,3.8622100754188216,38.0,30.0,33.375,4.718883039751794,0.0,8.0,0.0,8.0,35.906198528,0.10509415171207678,1.0,0.0,10,3,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17
